,afg,ago,alb,are,arg,aus,aut,bdi,bel,ben,bfa,bgd,bgr,bhr,bhs,blz,bmu,bol,bra,brb,caf,can,che,chl,chn,civ,cmr,cod,cog,col,cri,csk,cub,cyp,ddr,dji,dnk,dom,dza,ecu,egy,esp,eth,fdr,fin,fio,fji,flk,fra,gab,gbr,gha,gib,gin,glp,gmb,gnb,gnq,grc,grl,gtm,guf,guy,hkg,hnd,hti,hun,idn,ind,irl,irn,irq,isl,isr,ita,jam,jor,jpn,ken,khm,kir,kna,kor,kwt,lao,lbn,lbr,lby,lka,mac,mar,mdg,mex,mli,mlt,mmr,mng,moz,mrt,mus,mwi,mys,naa,ncl,ner,nga,nic,nld,nor,npl,nzl,omn,pak,pan,per,phl,png,pol,prk,prt,pry,qat,rou,rwa,sau,sdn,sen,sgp,shn,sle,slv,som,spm,sun,sur,swe,syc,syr,tcd,tgo,tha,tto,tun,tur,twn,tza,uga,ury,usa,ven,vnm,wsm,yar,ymd,yug,zaf,zmb,zwe
pry,0.0,0.0,0.0,0.0,189393000.0,161000.0,3392000.0,0.0,2741000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408910000.0,0.0,0.0,3534000.0,5451000.0,0.0,0.0,0.0,0.0,0.0,0.0,545000.0,30000.0,0.0,0.0,0.0,0.0,0.0,552000.0,0.0,39986000.0,0.0,0.0,9766000.0,0.0,61868000.0,1124000.0,0.0,0.0,0.0,25586000.0,0.0,30631000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13005000.0,0.0,0.0,0.0,0.0,0.0,1498000.0,0.0,0.0,0.0,513000.0,10267000.0,611000.0,0.0,71270000.0,0.0,0.0,0.0,0.0,1389000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,79000.0,0.0,0.0,0.0,0.0,0.0,10072000.0,191000.0,0.0,0.0,0.0,3000.0,90000.0,358000.0,8000.0,0.0,116000.0,0.0,3563000.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,179000.0,0.0,0.0,36000.0,0.0,0.0,0.0,0.0,4964000.0,0.0,0.0,0.0,0.0,2000.0,97000.0,0.0,0.0,0.0,0.0,0.0,14621000.0,96197000.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,0.0
qat,0.0,0.0,0.0,39868000.0,69000.0,30451000.0,5871000.0,0.0,14499000.0,0.0,0.0,313000.0,525000.0,6174000.0,0.0,0.0,0.0,0.0,26346000.0,3000.0,0.0,4203000.0,15344000.0,2121000.0,20815000.0,6000.0,0.0,0.0,0.0,0.0,0.0,21000.0,0.0,3951000.0,2653000.0,0.0,21050000.0,0.0,0.0,265000.0,1600000.0,7699000.0,0.0,82126000.0,4060000.0,0.0,0.0,0.0,72456000.0,0.0,234066000.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,19695000.0,0.0,1671000.0,0.0,0.0,11929000.0,0.0,0.0,1173000.0,9000.0,27484000.0,2065000.0,2159000.0,1658000.0,0.0,0.0,71561000.0,1000.0,7906000.0,238337000.0,760000.0,0.0,0.0,0.0,8942000.0,13236000.0,0.0,13408000.0,0.0,0.0,239000.0,0.0,450000.0,0.0,3000.0,0.0,348000.0,23000.0,0.0,44000.0,0.0,0.0,0.0,5268000.0,0.0,0.0,0.0,0.0,0.0,38796000.0,24604000.0,0.0,3312000.0,491000.0,8947000.0,0.0,17000.0,2811000.0,0.0,432000.0,0.0,1375000.0,0.0,0.0,587000.0,0.0,9295000.0,2112000.0,0.0,18676000.0,0.0,1628000.0,0.0,0.0,0.0,1712000.0,0.0,13420000.0,0.0,8249000.0,0.0,0.0,5041000.0,0.0,252000.0,1662000.0,13884000.0,0.0,0.0,0.0,155921000.0,0.0,0.0,0.0,0.0,0.0,2484000.0,2898000.0,0.0,0.0
rou,0.0,0.0,0.0,0.0,23300000.0,29710000.0,197111000.0,0.0,194538000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103558000.0,0.0,738000.0,18820000.0,79787000.0,0.0,0.0,0.0,0.0,0.0,0.0,13538000.0,1000.0,0.0,16105000.0,1004000.0,0.0,0.0,19509000.0,0.0,114036000.0,0.0,111143000.0,75503000.0,5433000.0,877369000.0,19470000.0,0.0,0.0,0.0,465127000.0,0.0,228759000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92800000.0,0.0,72000.0,0.0,0.0,815000.0,0.0,0.0,23000.0,6129000.0,0.0,24603000.0,0.0,0.0,442000.0,35031000.0,327106000.0,0.0,15795000.0,202656000.0,1154000.0,0.0,0.0,0.0,905000.0,125600000.0,0.0,0.0,14970000.0,426273000.0,457000.0,0.0,57281000.0,12843000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,16476000.0,0.0,0.0,0.0,0.0,0.0,121941000.0,9287000.0,1000000.0,363000.0,0.0,8070000.0,0.0,17335000.0,4176000.0,0.0,114173000.0,0.0,13233000.0,0.0,0.0,0.0,0.0,54471000.0,7424000.0,0.0,30880000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88667000.0,0.0,0.0,0.0,0.0,15031000.0,0.0,4395000.0,70953000.0,0.0,1229000.0,0.0,0.0,716340000.0,0.0,0.0,0.0,0.0,0.0,155394000.0,0.0,0.0,0.0
rwa,0.0,0.0,0.0,0.0,0.0,28000.0,413000.0,0.0,24890000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124000.0,0.0,0.0,0.0,532000.0,0.0,0.0,0.0,0.0,0.0,0.0,11000.0,0.0,0.0,0.0,0.0,0.0,0.0,1883000.0,0.0,0.0,0.0,0.0,2414000.0,0.0,13048000.0,105000.0,6000.0,0.0,0.0,24094000.0,0.0,2792000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57000.0,0.0,0.0,0.0,0.0,629000.0,0.0,0.0,0.0,0.0,0.0,101000.0,0.0,0.0,0.0,121000.0,6497000.0,0.0,0.0,28828000.0,33162000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,4229000.0,361000.0,0.0,0.0,4000.0,37000.0,0.0,0.0,0.0,0.0,0.0,0.0,43000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582000.0,0.0,0.0,0.0,0.0,186000.0,0.0,0.0,0.0,0.0,2578000.0,0.0,0.0,4447000.0,0.0,0.0,0.0,0.0,0.0,99000.0,0.0,0.0,0.0
sau,6445000.0,0.0,37809000.0,58842000.0,30867000.0,368073000.0,146825000.0,30000.0,473129000.0,69000.0,0.0,1749000.0,39923000.0,90413000.0,50000.0,0.0,391000.0,2230000.0,106315000.0,715000.0,61000.0,137073000.0,515701000.0,30143000.0,250110000.0,2652000.0,6000.0,83000.0,333000.0,270000.0,1376000.0,101449000.0,2851000.0,46909000.0,8605000.0,925000.0,152699000.0,201000.0,91000.0,1260000.0,79819000.0,542398000.0,32795000.0,2739705000.0,90605000.0,38000.0,1561000.0,0.0,1635521000.0,262000.0,1951452000.0,306000.0,1257000.0,139000.0,399000.0,154000.0,0.0,168000.0,409602000.0,0.0,31214000.0,229000.0,1013000.0,275540000.0,275000.0,604000.0,41708000.0,10965000.0,298645000.0,20962000.0,20297000.0,2902000.0,3222000.0,0.0,2207959000.0,155000.0,122084000.0,5412499000.0,4177000.0,3127000.0,0.0,945000.0,723972000.0,117510000.0,7572000.0,374655000.0,540000.0,1199000.0,41049000.0,917000.0,29181000.0,0.0,331000.0,957000.0,1671000.0,499000.0,915000.0,17784000.0,172000.0,252000.0,1097000.0,57875000.0,0.0,264000.0,81000.0,1379000.0,88000.0,780228000.0,25277000.0,37000.0,52849000.0,2681000.0,152939000.0,3659000.0,268000.0,33475000.0,207000.0,37873000.0,201623000.0,17592000.0,1182000.0,63442000.0,89968000.0,0.0,0.0,175699000.0,25000.0,330854000.0,4000.0,351000.0,95000.0,116296000.0,0.0,54449000.0,902000.0,542286000.0,0.0,59148000.0,174000.0,175000.0,116209000.0,802000.0,1831000.0,92482000.0,672822000.0,819000.0,371000.0,5168000.0,6033379000.0,7000.0,5010000.0,0.0,6474000.0,2180000.0,44000000.0,38912000.0,19000.0,441000.0
sdn,0.0,0.0,0.0,0.0,19770000.0,2921000.0,5917000.0,0.0,78192000.0,0.0,1000.0,27820000.0,928000.0,8482000.0,1000.0,0.0,0.0,0.0,53076000.0,0.0,50000.0,2720000.0,5437000.0,1600000.0,35170000.0,0.0,0.0,0.0,472000.0,138000.0,0.0,13342000.0,0.0,298000.0,7760000.0,0.0,9990000.0,0.0,1000.0,0.0,29734000.0,4404000.0,5694000.0,139276000.0,49000.0,0.0,0.0,0.0,114200000.0,0.0,196822000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11328000.0,0.0,0.0,0.0,0.0,17855000.0,0.0,0.0,461000.0,39000.0,76903000.0,12000.0,1053000.0,124000.0,0.0,0.0,44062000.0,0.0,1428000.0,55427000.0,8574000.0,0.0,0.0,0.0,36963000.0,84527000.0,0.0,3265000.0,0.0,1000.0,6000.0,0.0,170000.0,0.0,0.0,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,1000.0,7000.0,0.0,0.0,0.0,5000.0,0.0,57066000.0,10927000.0,0.0,61000.0,746000.0,15078000.0,0.0,0.0,114000.0,0.0,27184000.0,310000.0,62000.0,0.0,28000.0,3171000.0,0.0,115387000.0,0.0,3000.0,10170000.0,0.0,0.0,0.0,0.0,0.0,357000.0,0.0,8354000.0,0.0,926000.0,2000.0,0.0,356000.0,1000.0,22000.0,2376000.0,6763000.0,51000.0,6318000.0,0.0,114886000.0,188000.0,0.0,0.0,213000.0,0.0,18161000.0,1000.0,191000.0,0.0
sen,0.0,0.0,0.0,0.0,13271000.0,173000.0,3227000.0,0.0,22662000.0,98000.0,15000.0,537000.0,10000.0,2000.0,0.0,0.0,0.0,0.0,3150000.0,0.0,2000.0,7732000.0,6188000.0,367000.0,19478000.0,29873000.0,6061000.0,23000.0,2000.0,3000.0,2000.0,1062000.0,5000.0,3000.0,2726000.0,0.0,3503000.0,16338000.0,16675000.0,0.0,22000.0,14911000.0,9000.0,34481000.0,1820000.0,1000.0,0.0,0.0,348637000.0,918000.0,52144000.0,2000.0,0.0,11000.0,5000.0,70000.0,4000.0,0.0,1737000.0,1000.0,0.0,0.0,0.0,1136000.0,0.0,0.0,105000.0,205000.0,0.0,1432000.0,17000.0,72288000.0,3000.0,417000.0,32720000.0,0.0,0.0,11795000.0,9000.0,0.0,0.0,0.0,2965000.0,0.0,0.0,330000.0,180000.0,3000.0,15000.0,59000.0,3272000.0,864000.0,54000.0,104000.0,16000.0,0.0,0.0,0.0,6000.0,1000.0,73000.0,551000.0,0.0,0.0,14000.0,53494000.0,0.0,23220000.0,3204000.0,0.0,6000.0,0.0,5987000.0,662000.0,0.0,107000.0,0.0,2431000.0,1024000.0,1556000.0,261000.0,0.0,1510000.0,0.0,5977000.0,0.0,0.0,9000.0,0.0,6000.0,0.0,0.0,0.0,416000.0,0.0,2263000.0,0.0,7000.0,0.0,15000.0,61982000.0,3638000.0,126000.0,355000.0,4060000.0,230000.0,0.0,8000.0,45136000.0,3096000.0,0.0,0.0,0.0,66000.0,160000.0,0.0,0.0,0.0
sgp,80000.0,0.0,0.0,226435000.0,6958000.0,544880000.0,27846000.0,0.0,112606000.0,0.0,0.0,20020000.0,3016000.0,311938000.0,0.0,0.0,0.0,0.0,78652000.0,0.0,0.0,127601000.0,200282000.0,5535000.0,622747000.0,201000.0,0.0,0.0,0.0,4023000.0,259000.0,11062000.0,2474000.0,155000.0,8554000.0,0.0,57139000.0,7000.0,1000.0,645000.0,9213000.0,41629000.0,442000.0,783996000.0,13764000.0,11000.0,6749000.0,0.0,326782000.0,0.0,827972000.0,12373000.0,0.0,0.0,0.0,0.0,0.0,0.0,13113000.0,0.0,1798000.0,0.0,0.0,493263000.0,0.0,0.0,4015000.0,2483554000.0,115179000.0,10905000.0,221439000.0,214004000.0,6000.0,52487000.0,226333000.0,22000.0,70000.0,4283225000.0,97037000.0,1851000.0,0.0,1000.0,273329000.0,1326994000.0,1578000.0,240000.0,1575000.0,505000.0,17575000.0,771000.0,878000.0,12159000.0,15067000.0,0.0,85000.0,70001000.0,0.0,52100000.0,0.0,63000.0,391000.0,3326420000.0,27220000.0,8000.0,0.0,58000.0,0.0,243483000.0,76475000.0,3435000.0,88264000.0,471000.0,42783000.0,10300000.0,652000.0,74873000.0,5729000.0,21895000.0,9416000.0,5513000.0,1205000.0,114691000.0,7595000.0,0.0,2997616000.0,6028000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23915000.0,0.0,229034000.0,4000.0,15128000.0,0.0,0.0,476358000.0,64000.0,7458000.0,2105000.0,652999000.0,11110000.0,1067000.0,350000.0,3383235000.0,5790000.0,18044000.0,93000.0,186000.0,2272000.0,2597000.0,0.0,20000.0,0.0
shn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,9000.0,0.0,10000.0,0.0,0.0,0.0,0.0,41000.0,0.0,6381000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645000.0,0.0,0.0,68000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31000.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sle,0.0,0.0,0.0,0.0,1045000.0,547000.0,709000.0,0.0,5137000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1544000.0,34000.0,0.0,752000.0,13555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,0.0,0.0,74000.0,0.0,0.0,2143000.0,0.0,0.0,0.0,2528000.0,6199000.0,0.0,27553000.0,516000.0,0.0,0.0,0.0,22745000.0,0.0,81610000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599000.0,0.0,0.0,0.0,0.0,1712000.0,0.0,0.0,0.0,0.0,0.0,1584000.0,0.0,0.0,0.0,148000.0,9123000.0,0.0,0.0,36461000.0,5000.0,0.0,0.0,0.0,2128000.0,0.0,0.0,0.0,1244000.0,0.0,5000.0,0.0,296000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2473000.0,33000.0,0.0,0.0,0.0,0.0,0.0,14450000.0,182000.0,0.0,15000.0,0.0,70000.0,0.0,0.0,21000.0,0.0,242000.0,0.0,248000.0,0.0,0.0,0.0,0.0,18000.0,0.0,539000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2360000.0,0.0,0.0,0.0,0.0,0.0,489000.0,37000.0,0.0,0.0,0.0,0.0,0.0,16797000.0,0.0,0.0,0.0,0.0,0.0,47000.0,0.0,0.0,0.0
slv,0.0,0.0,0.0,0.0,2226000.0,1232000.0,219000.0,0.0,6430000.0,0.0,0.0,0.0,78000.0,0.0,0.0,94000.0,0.0,0.0,4081000.0,0.0,0.0,14404000.0,3620000.0,87000.0,2000.0,0.0,0.0,0.0,0.0,1518000.0,55345000.0,380000.0,0.0,0.0,0.0,0.0,3328000.0,2000.0,0.0,280000.0,2000.0,11569000.0,0.0,28218000.0,4526000.0,0.0,0.0,0.0,8038000.0,0.0,13080000.0,0.0,0.0,0.0,279000.0,0.0,0.0,0.0,8000.0,0.0,252235000.0,0.0,0.0,1622000.0,0.0,0.0,116000.0,0.0,259000.0,787000.0,0.0,0.0,2000.0,139000.0,15465000.0,50000.0,0.0,42586000.0,0.0,0.0,0.0,0.0,953000.0,0.0,0.0,0.0,0.0,0.0,171000.0,0.0,123000.0,0.0,13733000.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,36000.0,1570000.0,0.0,0.0,0.0,10942000.0,17200000.0,70000.0,0.0,4342000.0,0.0,19000.0,26103000.0,1772000.0,9000.0,0.0,34000.0,0.0,247000.0,0.0,0.0,3000.0,0.0,1000.0,0.0,2000.0,312000.0,0.0,0.0,0.0,0.0,7000.0,189000.0,0.0,3329000.0,0.0,0.0,0.0,0.0,0.0,13000.0,0.0,0.0,5700000.0,0.0,0.0,320000.0,244178000.0,165589000.0,0.0,0.0,0.0,0.0,26000.0,215000.0,0.0,0.0
som,0.0,0.0,0.0,0.0,0.0,465000.0,4819000.0,0.0,16137000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1744000.0,2294000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1058000.0,0.0,0.0,0.0,6000.0,1049000.0,1000.0,21879000.0,73000.0,0.0,0.0,0.0,27612000.0,0.0,32693000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6099000.0,0.0,0.0,0.0,0.0,1507000.0,0.0,0.0,0.0,34000.0,0.0,458000.0,0.0,0.0,0.0,0.0,178452000.0,0.0,2000.0,5126000.0,11571000.0,0.0,0.0,0.0,468000.0,1057000.0,0.0,0.0,5000.0,0.0,588000.0,0.0,0.0,4000.0,0.0,0.0,207000.0,0.0,0.0,0.0,0.0,0.0,56000.0,39000.0,0.0,0.0,0.0,0.0,0.0,7452000.0,35000.0,0.0,0.0,132000.0,6413000.0,0.0,0.0,171000.0,0.0,0.0,0.0,93000.0,0.0,0.0,0.0,0.0,19555000.0,338000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4330000.0,0.0,0.0,0.0,0.0,612000.0,34000.0,0.0,0.0,0.0,2693000.0,0.0,0.0,53831000.0,0.0,0.0,0.0,143000.0,0.0,4607000.0,0.0,0.0,0.0
spm,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12936000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,823000.0,0.0,9000.0,0.0,0.0,0.0,0.0,9432000.0,0.0,189000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85000.0,0.0,0.0,0.0,0.0,29000.0,0.0,0.0,0.0,0.0,24000.0,0.0,0.0,13000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177000.0,8000.0,0.0,13000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sun,0.0,0.0,0.0,0.0,1614166000.0,1034983000.0,477737000.0,0.0,618740000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370212000.0,0.0,0.0,1314834000.0,298168000.0,0.0,0.0,0.0,5006000.0,0.0,0.0,20227000.0,23000.0,0.0,3007479000.0,20297000.0,0.0,0.0,88441000.0,3375000.0,93961000.0,0.0,127883000.0,261740000.0,39224000.0,3913378000.0,2493580000.0,0.0,0.0,0.0,2463815000.0,0.0,1013786000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90110000.0,0.0,0.0,0.0,0.0,10551000.0,0.0,0.0,520000.0,72925000.0,0.0,49408000.0,0.0,0.0,49867000.0,1000.0,1271071000.0,49856000.0,0.0,2778232000.0,4466000.0,0.0,0.0,0.0,2406000.0,33000.0,0.0,0.0,2145000.0,0.0,31295000.0,1698000.0,121063000.0,688000.0,0.0,0.0,58000.0,0.0,0.0,0.0,0.0,0.0,0.0,289842000.0,0.0,0.0,0.0,0.0,9393000.0,470141000.0,112180000.0,13266000.0,224197000.0,0.0,42644000.0,0.0,15769000.0,189289000.0,0.0,1093910000.0,0.0,51566000.0,0.0,0.0,0.0,0.0,0.0,9290000.0,2202000.0,236939000.0,0.0,0.0,6137000.0,0.0,0.0,0.0,0.0,420234000.0,0.0,0.0,0.0,0.0,164175000.0,0.0,5369000.0,168963000.0,0.0,15545000.0,0.0,48274000.0,1505867000.0,0.0,0.0,0.0,0.0,0.0,2694633000.0,0.0,0.0,0.0
sur,0.0,0.0,0.0,0.0,107000.0,43000.0,90000.0,0.0,4980000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12136000.0,1215000.0,0.0,4294000.0,1062000.0,0.0,0.0,0.0,0.0,0.0,0.0,1555000.0,262000.0,0.0,0.0,0.0,0.0,0.0,2178000.0,1176000.0,0.0,0.0,0.0,2399000.0,0.0,13064000.0,433000.0,1000.0,0.0,0.0,4025000.0,0.0,18034000.0,0.0,0.0,0.0,35000.0,0.0,0.0,0.0,18000.0,0.0,516000.0,104000.0,0.0,0.0,1128000.0,0.0,0.0,30000.0,0.0,86000.0,0.0,0.0,0.0,3379000.0,4044000.0,1744000.0,0.0,23771000.0,0.0,0.0,0.0,436000.0,5878000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,31000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43438000.0,459000.0,0.0,46000.0,0.0,24000.0,307000.0,289000.0,448000.0,0.0,22000.0,0.0,218000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13000.0,0.0,0.0,0.0,0.0,766000.0,0.0,0.0,0.0,0.0,20000.0,140613000.0,0.0,0.0,0.0,0.0,0.0,0.0,126401000.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0
swe,1746000.0,0.0,6943000.0,217909000.0,54102000.0,83757000.0,470792000.0,527000.0,1097726000.0,706000.0,2290000.0,8224000.0,13898000.0,6000.0,14311000.0,18000.0,2742000.0,637000.0,256890000.0,72000.0,0.0,308688000.0,625610000.0,66991000.0,106929000.0,7594000.0,1011000.0,7501000.0,75000.0,150059000.0,23357000.0,97883000.0,1319000.0,4835000.0,326409000.0,0.0,2057064000.0,8657000.0,11298000.0,25879000.0,4406000.0,265789000.0,1071000.0,5602286000.0,2281230000.0,11000.0,703000.0,42000.0,1446614000.0,4545000.0,3960997000.0,24200000.0,64000.0,183000.0,93000.0,1000.0,13000.0,0.0,71462000.0,4408000.0,15133000.0,3000.0,2041000.0,239612000.0,11877000.0,1927000.0,94361000.0,26201000.0,53615000.0,104743000.0,150499000.0,219578000.0,23908000.0,64475000.0,939080000.0,20903000.0,16000.0,953319000.0,23931000.0,29000.0,1342000.0,14000.0,152119000.0,11000.0,32000.0,1544000.0,502000.0,255929000.0,20288000.0,10110000.0,29241000.0,717000.0,42236000.0,5433000.0,15593000.0,3317000.0,102000.0,659000.0,8000.0,153000.0,125000.0,71668000.0,6451000.0,14056000.0,28687000.0,565632000.0,1130000.0,1243464000.0,1739488000.0,161000.0,15731000.0,590000.0,20998000.0,17728000.0,44177000.0,31254000.0,260000.0,277624000.0,1389000.0,228551000.0,2842000.0,56273000.0,62666000.0,3440000.0,1697979000.0,4887000.0,58000.0,60407000.0,0.0,14000.0,2760000.0,0.0,0.0,746976000.0,300000.0,0.0,3000.0,3877000.0,0.0,687000.0,29599000.0,29544000.0,1884000.0,40205000.0,127989000.0,6754000.0,2129000.0,5592000.0,2436635000.0,396656000.0,416000.0,2508000.0,0.0,3000.0,86622000.0,62063000.0,24508000.0,2066000.0
syc,0.0,0.0,0.0,1000.0,0.0,1739000.0,144000.0,0.0,413000.0,0.0,0.0,0.0,1000.0,23284000.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,40000.0,465000.0,0.0,1042000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,1000.0,0.0,0.0,974000.0,0.0,0.0,0.0,7000.0,75000.0,4000.0,2070000.0,29000.0,75000.0,0.0,0.0,2505000.0,0.0,24605000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,11000.0,1249000.0,0.0,0.0,0.0,6000.0,1991000.0,158000.0,0.0,0.0,0.0,3000.0,1630000.0,0.0,0.0,4733000.0,2932000.0,0.0,0.0,0.0,291000.0,0.0,0.0,0.0,0.0,0.0,82000.0,0.0,1000.0,5000.0,0.0,0.0,0.0,11000.0,0.0,32000.0,0.0,903000.0,30000.0,1174000.0,0.0,10000.0,0.0,0.0,0.0,1434000.0,70000.0,66000.0,246000.0,0.0,863000.0,0.0,0.0,99000.0,0.0,1000.0,79000.0,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7239000.0,0.0,0.0,9000.0,0.0,0.0,136000.0,0.0,196000.0,0.0,0.0,0.0,0.0,1228000.0,2000.0,0.0,1000.0,301000.0,686000.0,1000.0,0.0,2457000.0,0.0,0.0,0.0,8000.0,0.0,1000.0,9877000.0,0.0,809000.0
syr,0.0,0.0,0.0,0.0,8388000.0,4073000.0,56789000.0,0.0,98855000.0,0.0,0.0,0.0,0.0,10339000.0,0.0,0.0,0.0,0.0,11707000.0,0.0,0.0,17898000.0,50798000.0,0.0,0.0,0.0,0.0,0.0,0.0,2521000.0,1385000.0,0.0,58421000.0,35974000.0,0.0,0.0,18977000.0,0.0,590000.0,0.0,823000.0,128889000.0,195000.0,420009000.0,26180000.0,0.0,0.0,0.0,326524000.0,0.0,183458000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76142000.0,0.0,1820000.0,0.0,0.0,11680000.0,534000.0,0.0,0.0,27000.0,0.0,11173000.0,0.0,0.0,154000.0,0.0,515777000.0,5000.0,45530000.0,198387000.0,1266000.0,0.0,0.0,0.0,24356000.0,17919000.0,0.0,0.0,2537000.0,78528000.0,11274000.0,0.0,2739000.0,0.0,0.0,0.0,72000.0,0.0,0.0,0.0,0.0,0.0,2000.0,6250000.0,0.0,0.0,0.0,0.0,0.0,104041000.0,4438000.0,0.0,2303000.0,429000.0,9685000.0,0.0,334000.0,260000.0,0.0,11817000.0,0.0,10064000.0,0.0,0.0,0.0,0.0,11441000.0,6032000.0,0.0,8786000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60255000.0,0.0,0.0,0.0,0.0,9637000.0,0.0,14298000.0,102920000.0,0.0,45000.0,0.0,0.0,233789000.0,0.0,0.0,0.0,148000.0,0.0,28720000.0,0.0,0.0,0.0
